Name,Enabled_by_default,Description,Remediation
read-secret-from-env-var,No,"Indicates when a deployment reads secret from environment variables. CIS Benchmark 5.4.1: ""Prefer using secrets as files over secrets as environment variables. ""","If possible, rewrite application code to read secrets from mounted secret files, rather than from environment variables. Refer to https://kubernetes.io/docs/concepts/configuration/secret/#using-secrets for details."
readiness-port,Yes,Indicates when containers have a readiness probe to a not exposed port.,Check which ports you've exposed and ensure they match what you have specified in the readiness probe.
required-annotation-email,No,Indicates when objects do not have an email annotation with a valid email address.,Add an email annotation to your object with the email address of the object's owner.
required-label-owner,No,Indicates when objects do not have an email annotation with an owner label.,Add an email annotation to your object with the name of the object's owner.
restart-policy,No,Indicates when a deployment-like object does not use a restart policy,Set up the restart policy for your object to 'Always' or 'OnFailure' to increase the fault tolerance.
run-as-non-root,Yes,Indicates when containers are not set to runAsNonRoot.,Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.
scc-deny-privileged-container,No,Indicates when allowPrivilegedContainer SecurityContextConstraints set to true,"SecurityContextConstraints has AllowPrivilegedContainer set to ""true"". Using this option is dangerous, please consider using allowedCapabilities instead. Refer to https://docs.openshift.com/container-platform/4.12/authentication/managing-security-context-constraints.html#scc-settings_configuring-internal-oauth for details."
schema-validation,No,Validate Kubernetes resources against their schemas using kubeconform,Fix the resource to conform to the Kubernetes API schema.
sensitive-host-mounts,Yes,Alert on deployments with sensitive host system directories mounted in containers,Ensure sensitive host system directories are not mounted in containers by removing those Volumes and VolumeMounts.
sorted-keys,No,Check that YAML keys are sorted in alphabetical order wherever possible.,Ensure that keys in your YAML manifest are sorted in alphabetical order to improve consistency and readability.
ssh-port,Yes,"Indicates when deployments expose port 22, which is commonly reserved for SSH access.",Ensure that non-SSH services are not using port 22. Confirm that any actual SSH servers have been vetted.
startup-port,Yes,Indicates when containers have a startup probe to a not exposed port.,Check which ports you've exposed and ensure they match what you have specified in the startup probe.
unsafe-proc-mount,No,Alert on deployments with unsafe /proc mount (procMount=Unmasked) that will bypass the default masking behavior of the container runtime,Ensure container does not unsafely exposes parts of /proc by setting procMount=Default.  Unmasked ProcMount bypasses the default masking behavior of the container runtime. See https://kubernetes.io/docs/concepts/security/pod-security-standards/ for more details.
unsafe-sysctls,Yes,Alert on deployments specifying unsafe sysctls that may lead to severe problems like wrong behavior of containers,Ensure container does not allow unsafe allocation of system resources by removing unsafe sysctls configurations. For more details see https://kubernetes.io/docs/tasks/administer-cluster/sysctl-cluster/ https://docs.docker.com/engine/reference/commandline/run/#configure-namespaced-kernel-parameters-sysctls-at-runtime.
unset-cpu-requirements,Yes,Indicates when containers do not have CPU requests and limits set.,Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
unset-memory-requirements,Yes,Indicates when containers do not have memory requests and limits set.,Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.
use-namespace,No,Indicates when a resource is deployed to the default namespace.   CIS Benchmark 5.7.1: Create administrative boundaries between resources using namespaces. CIS Benchmark 5.7.4: The default namespace should not be used.,Create namespaces for objects in your deployment.
wildcard-in-rules,No,Indicate when a wildcard is used in Role or ClusterRole rules. CIS Benchmark 5.1.3 Use of wildcards is not optimal from a security perspective as it may allow for inadvertent access to be granted when new resources are added to the Kubernetes API either as CRDs or in later versions of the product.,Where possible replace any use of wildcards in clusterroles and roles with specific objects or actions.
writable-host-mount,No,Indicates when containers mount a host path as writable.,"Set containers to mount host paths as readOnly, if you need to access files on the host."
